scenario,net_pnl,profit_factor,max_dd_pct,trades,positive_months,negative_months,zero_months,verdict,system,source,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash
normal,-15189.881699320764,0.5249838623670422,152.24497139269414,3111,9,62,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
double fees,-20761.57923187076,0.4261117150645481,208.41389054116922,3111,7,64,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
triple fees,-26333.276764420767,0.3492986999175088,264.6666259393581,3111,5,66,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
double slippage,-20439.041371970765,0.43502725550477706,205.16459194984137,3111,7,64,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
triple slippage,-25688.201044620764,0.36523866869847876,258.163188583404,3111,5,66,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
double fees + double slippage,-26010.738904520764,0.35726868430799374,261.41490726138113,3111,5,66,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
delay 1 candle,-15320.000136270764,0.521800485862499,153.53484675630494,3111,9,62,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
delay 2 candles,-15450.118573220765,0.5191793805974557,154.8239132827903,3111,9,62,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
missed fills 10%,-14347.020639523282,0.5122987753606935,144.0875393767715,2800,9,62,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
missed fills 20%,-13572.916264749418,0.4934002764414662,135.24533486541736,2489,12,59,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
missed fills 30%,-11754.335595209554,0.48890196772276157,117.3059832893032,2178,10,61,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
combined adverse,-24422.06441172328,0.34592503439793587,243.4466243385013,2800,6,65,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
combined adverse passive,-19738.842906581325,0.42797465982648714,197.0966515211786,2955,6,65,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
combined adverse high funding,-23719.780457934583,0.3335362492560717,235.76083235307732,2644,6,65,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
combined adverse stale cancel,-29471.986089728285,0.2886951515922059,293.4384056385975,2800,5,66,7,FAIL,pf12_event_driven_mtf_router,TRANSFORMED_FROM_EVENT_ENGINE_TRADE_LOG,,,,,,,,,,,
stale cancel,-4848.532287546562,0.6506453826627212,48.379966412940576,1556,15,56,7,,pf12_event_driven_mtf_router,DETERMINISTIC_EVERY_OTHER_TRADE_STALE_CANCEL_PROXY,0.29562982005141386,460,1096,19.630453145833954,-12.662902130137027,-3.1160233210453483,-0.07264319242109209,171.3533239999997,-112.86768493199928,-11947.957469414934,924ae0385781ee056a5a4987bf27bbc839b67e4e3c5dd8c54418e706c247ede0
partial fill,-4970.361013335381,0.6441043118089674,49.64576099590431,3111,13,58,7,,pf12_event_driven_mtf_router,HALF_SIZE_TRANSFORM_FROM_EVENT_ENGINE_TRADE_LOG,0.30408228865316617,946,2165,9.508899946555779,-6.450706865024087,-1.597673099754221,-0.06937588290335482,85.67666199999985,-58.394145599100156,-12273.031165386641,e31db3108c5bba51db537661052c74bf472ddcd762fb8ffbeb0e6697abc2f96c
