month,net_pnl
2020-01,155.5669350495171
2020-02,-258.8760788505922
2020-03,929.9758627178608
2020-04,769.0273145913692
2020-05,-126.84825862006667
2020-06,-308.5273692798319
2020-07,39.88854397933811
2020-08,-243.29532792838734
2020-09,110.23050884959949
2020-10,39.961217479856955
2020-11,145.97173639406577
2020-12,-339.7426836651606
2021-01,812.4770370113616
2021-02,-239.85860396847693
2021-03,799.1794311950997
2021-04,1189.676249799766
2021-05,608.9271940178633
2021-06,-380.51245306752946
2021-07,648.8755533094242
2021-08,-108.40615515354241
2021-09,185.52265186574607
2021-10,677.9699961468251
2021-11,694.4905272472383
2021-12,-138.06072422157303
2022-01,511.1157913292899
2022-02,334.8421609741159
2022-03,76.308439524432
2022-04,-543.7439116949822
2022-05,644.5763211810226
2022-06,287.04617695000564
2022-07,168.57741430313297
2022-08,236.24207145278461
2022-09,161.106833061209
2022-10,324.1694002666994
2022-11,325.4491229389638
2022-12,567.1575547979794
2023-01,139.31113742633914
2023-02,91.83846212346333
2023-03,329.8914067526583
2023-04,355.18644039842326
2023-05,594.4122326302277
2023-06,89.74884294146278
2023-08,934.1148933290826
2023-09,288.579542484585
2023-10,44.66655100739882
2023-11,-188.5924600683254
2023-12,-175.382522882986
2024-01,-653.0570360228119
2024-02,-251.43259546760797
2024-03,-612.3735366872629
2024-04,277.5702998484575
2024-05,61.33404648226801
2024-06,-416.1995119990528
2024-07,-534.3878528028387
2024-08,236.97652848767828
2024-09,-648.0771642912134
2024-10,-543.1809531903451
2024-11,752.8014450423898
2024-12,413.095557284712
2025-01,214.72159896291447
2025-02,158.66415090370742
2025-03,540.5653435697279
2025-04,128.0201506952556
2025-05,-678.1772889812379
2025-06,152.8136207712388
2025-07,725.4030042940991
2025-08,606.1593910240372
2025-09,-675.4614539493268
2025-10,-225.63473729568943
2025-11,-188.09829382687587
2025-12,-502.9937211813555
2026-01,264.33111180289166
2026-02,716.1076866695101
2026-03,663.5610621716481
2026-04,-718.583635486661
2026-05,607.3200219181194
2026-06,73.17346204734375
