repair_module,net_pnl,trades,profit_factor,max_drawdown_pct,positive_months,negative_months,status
v1_baseline,11205.2,557,1.2522,16.2186,52,25,EXECUTED
adx_filter_20,11205.2,557,1.2522,16.2186,52,25,EXECUTED
adx_filter_25,11205.2,557,1.2522,16.2186,52,25,EXECUTED
sl_tight_1.4,8546.86,557,1.2025,15.7335,49,28,EXECUTED
sl_tight_1.2,8255.77,560,1.1914,15.0631,48,29,EXECUTED
tp_2_5,9237.6,550,1.222,15.6038,51,26,EXECUTED
tp_3_0,8611.27,547,1.2089,16.5711,51,26,EXECUTED
combined_adx20_sl1.4_tp2.5,8102.94,555,1.1927,16.5524,49,28,EXECUTED
rsi_strict_65_35,11205.2,557,1.2522,16.2186,52,25,EXECUTED
monthly_gov_2pct,8682.78,501,1.2243,14.636,47,30,EXECUTED
best_combined_adx25_sl1.5_tp2.5,8797.1,554,1.2068,16.7234,49,28,EXECUTED
