scenario,fee_mult,slip_mult,delay_pct,missed_fill_pct,stale_cancel_pct,partial_fill_pct,funding_mult,trades,net_pnl,profit_factor,max_drawdown_pct,verdict
normal,1.0,1.0,0.0,0.0,0.0,0.0,1.0,404,11231.08,1.3862,9.3716,PASS
double fees,2.0,1.0,0.0,0.0,0.0,0.0,1.0,404,-7410.24,0.8016,82.7254,FAIL
triple fees,3.0,1.0,0.0,0.0,0.0,0.0,1.0,404,-26051.55,0.4349,255.6386,FAIL
double slippage,1.0,2.0,0.0,0.0,0.0,0.0,1.0,404,-7410.24,0.8016,82.7254,FAIL
triple slippage,1.0,3.0,0.0,0.0,0.0,0.0,1.0,404,-26051.55,0.4349,255.6386,FAIL
double fees + double slippage,2.0,2.0,0.0,0.0,0.0,0.0,1.0,404,-26051.55,0.4349,255.6386,FAIL
delay 1 candle,1.0,1.0,0.0005,0.0,0.0,0.0,1.0,404,1910.42,1.0575,25.4639,PASS
delay 2 candles,1.0,1.0,0.001,0.0,0.0,0.0,1.0,404,-7410.24,0.8016,82.7254,FAIL
missed fills 10%,1.0,1.0,0.0,0.1,0.0,0.0,1.0,364,8567.77,1.3189,11.3972,PASS
missed fills 20%,1.0,1.0,0.0,0.2,0.0,0.0,1.0,324,6443.37,1.2631,13.2004,PASS
missed fills 30%,1.0,1.0,0.0,0.3,0.0,0.0,1.0,270,12752.06,1.7397,6.9525,PASS
stale cancel,1.0,1.0,0.0002,0.05,0.0,0.0,1.0,384,7122.22,1.2434,12.0733,PASS
partial fill,1.0,1.0,0.0,0.0,0.0,0.15,1.0,404,10388.75,1.3862,9.0037,PASS
high funding,1.0,1.0,0.0,0.0,0.0,0.0,3.0,404,5051.47,1.1599,20.6446,PASS
combined adverse,2.0,2.0,0.0005,0.1,0.0,0.0,1.0,364,-33384.48,0.3001,333.9922,FAIL
