track,rank,candidate_id,net_pnl,trades,profit_factor,max_drawdown_pct,negative_months,win_rate,score,family
HIGH_PF,1,P43_CAND_0202,9080.27,222,1.6791,6.4071,18,0.6036,0.569844,source_pruning
HIGH_PF,2,P43_CAND_0247,8069.72,210,1.654,5.4819,19,0.6,0.550642,source_pruning
HIGH_PF,3,P43_CAND_0201,9597.25,243,1.6321,6.3977,22,0.5967,0.566445,source_pruning
HIGH_PF,4,P43_CAND_0291,10219.2,280,1.5711,7.2444,20,0.5786,0.578383,volatility_quality
HIGH_PF,5,P43_CAND_0200,8436.1,249,1.5573,6.0144,25,0.5823,0.530775,source_pruning
HIGH_PF,6,P43_CAND_0165,9305.6,255,1.557,8.8771,26,0.5569,0.517374,projected_R_funding_adx
HIGH_PF,7,P43_CAND_0160,9293.4,255,1.5563,8.8705,26,0.5569,0.517126,projected_R_funding_adx
HIGH_PF,8,P43_CAND_0080,9643.33,262,1.5504,8.8831,25,0.5573,0.528142,projected_R_funding_adx
HIGH_PF,9,P43_CAND_0168,8103.02,236,1.5497,8.8901,25,0.5551,0.491996,projected_R_funding_adx
HIGH_PF,10,P43_CAND_0163,8097.05,236,1.5496,8.8844,25,0.5551,0.491924,projected_R_funding_adx
HIGH_PF,11,P43_CAND_0045,10121.17,278,1.5467,8.8751,26,0.5612,0.537276,projected_R_funding_adx
HIGH_PF,12,P43_CAND_0287,10354.93,295,1.5457,6.8386,21,0.5763,0.582283,volatility_quality
HIGH_PF,13,P43_CAND_0175,8721.4,247,1.545,8.8833,23,0.5547,0.512828,projected_R_funding_adx
HIGH_PF,14,P43_CAND_0083,8429.48,243,1.5439,8.8811,24,0.5556,0.502769,projected_R_funding_adx
HIGH_PF,15,P43_CAND_0085,9447.96,261,1.5437,8.884,25,0.5556,0.523356,projected_R_funding_adx
BEST_SCORE,1,P43_CAND_0005,11599.38,333,1.5115,7.9437,24,0.5676,0.590301,projected_R_funding_adx
BEST_SCORE,2,P43_CAND_0006,11206.02,328,1.5049,7.9377,23,0.5671,0.584167,projected_R_funding_adx
BEST_SCORE,3,P43_CAND_0000,11431.41,340,1.4998,7.938,25,0.5647,0.583895,projected_R_funding_adx
BEST_SCORE,4,P43_CAND_0001,11259.8,334,1.5005,7.9417,24,0.5659,0.582629,projected_R_funding_adx
BEST_SCORE,5,P43_CAND_0287,10354.93,295,1.5457,6.8386,21,0.5763,0.582283,volatility_quality
BEST_SCORE,6,P43_CAND_0291,10219.2,280,1.5711,7.2444,20,0.5786,0.578383,volatility_quality
BEST_SCORE,7,P43_CAND_0003,10441.08,310,1.5198,7.9367,23,0.5677,0.566768,projected_R_funding_adx
BEST_SCORE,8,P43_CAND_0008,10197.63,303,1.5204,7.9453,22,0.5677,0.563806,projected_R_funding_adx
BEST_SCORE,9,P43_CAND_0002,10453.77,316,1.4976,7.9394,24,0.5665,0.562641,projected_R_funding_adx
BEST_SCORE,10,P43_CAND_0007,10380.88,310,1.5015,7.937,24,0.5677,0.560398,projected_R_funding_adx
BEST_SCORE,11,P43_CAND_0299,10399.02,328,1.4841,7.937,26,0.564,0.555954,volatility_quality
BEST_SCORE,12,P43_CAND_0347,9287.01,302,1.4743,7.1521,21,0.5596,0.552049,volatility_quality
BEST_SCORE,13,P43_CAND_0434,9639.97,309,1.4638,7.7971,22,0.5663,0.549675,cost_to_risk
BEST_SCORE,14,P43_CAND_0323,9656.65,314,1.4674,7.946,23,0.5605,0.546546,volatility_quality
BEST_SCORE,15,P43_CAND_0025,10191.36,316,1.4825,8.881,25,0.5601,0.543134,projected_R_funding_adx
MONTHLY,1,P43_CAND_0202,9080.27,222,1.6791,6.4071,18,0.6036,0.569844,source_pruning
MONTHLY,2,P43_CAND_0247,8069.72,210,1.654,5.4819,19,0.6,0.550642,source_pruning
MONTHLY,3,P43_CAND_0339,8503.09,263,1.5219,6.8315,20,0.5703,0.53987,volatility_quality
MONTHLY,4,P43_CAND_0291,10219.2,280,1.5711,7.2444,20,0.5786,0.578383,volatility_quality
MONTHLY,5,P43_CAND_0295,8290.78,274,1.4632,8.0762,20,0.5693,0.519507,volatility_quality
MONTHLY,6,P43_CAND_0287,10354.93,295,1.5457,6.8386,21,0.5763,0.582283,volatility_quality
MONTHLY,7,P43_CAND_0335,8086.63,274,1.4735,6.8475,21,0.5657,0.525408,volatility_quality
MONTHLY,8,P43_CAND_0347,9287.01,302,1.4743,7.1521,21,0.5596,0.552049,volatility_quality
MONTHLY,9,P43_CAND_0315,8398.85,269,1.5108,7.25,21,0.5688,0.530357,volatility_quality
MONTHLY,10,P43_CAND_0018,8551.21,278,1.4915,7.94,21,0.5612,0.526374,projected_R_funding_adx
MONTHLY,11,P43_CAND_0292,9068.74,269,1.5354,8.3314,21,0.5725,0.535401,volatility_quality
MONTHLY,12,P43_CAND_0436,8713.46,281,1.4802,8.372,21,0.5694,0.524769,cost_to_risk
MONTHLY,13,P43_CAND_0201,9597.25,243,1.6321,6.3977,22,0.5967,0.566445,source_pruning
MONTHLY,14,P43_CAND_0311,8666.35,285,1.4891,6.8465,22,0.5684,0.537439,volatility_quality
MONTHLY,15,P43_CAND_0289,8433.51,255,1.5351,7.6519,22,0.5647,0.523328,volatility_quality
HIGH_PNL_PF,1,P43_CAND_0005,11599.38,333,1.5115,7.9437,24,0.5676,0.590301,projected_R_funding_adx
HIGH_PNL_PF,2,P43_CAND_0000,11431.41,340,1.4998,7.938,25,0.5647,0.583895,projected_R_funding_adx
HIGH_PNL_PF,3,P43_CAND_0001,11259.8,334,1.5005,7.9417,24,0.5659,0.582629,projected_R_funding_adx
HIGH_PNL_PF,4,P43_CAND_0006,11206.02,328,1.5049,7.9377,23,0.5671,0.584167,projected_R_funding_adx
HIGH_PNL_PF,5,P43_CAND_0002,10453.77,316,1.4976,7.9394,24,0.5665,0.562641,projected_R_funding_adx
HIGH_PNL_PF,6,P43_CAND_0003,10441.08,310,1.5198,7.9367,23,0.5677,0.566768,projected_R_funding_adx
HIGH_PNL_PF,7,P43_CAND_0299,10399.02,328,1.4841,7.937,26,0.564,0.555954,volatility_quality
HIGH_PNL_PF,8,P43_CAND_0007,10380.88,310,1.5015,7.937,24,0.5677,0.560398,projected_R_funding_adx
HIGH_PNL_PF,9,P43_CAND_0287,10354.93,295,1.5457,6.8386,21,0.5763,0.582283,volatility_quality
HIGH_PNL_PF,10,P43_CAND_0291,10219.2,280,1.5711,7.2444,20,0.5786,0.578383,volatility_quality
HIGH_PNL_PF,11,P43_CAND_0008,10197.63,303,1.5204,7.9453,22,0.5677,0.563806,projected_R_funding_adx
HIGH_PNL_PF,12,P43_CAND_0025,10191.36,316,1.4825,8.881,25,0.5601,0.543134,projected_R_funding_adx
HIGH_PNL_PF,13,P43_CAND_0045,10121.17,278,1.5467,8.8751,26,0.5612,0.537276,projected_R_funding_adx
HIGH_PNL_PF,14,P43_CAND_0040,10115.04,282,1.5406,8.8763,26,0.5603,0.537331,projected_R_funding_adx
